id_loja,cod,varejista,tipo,cep,lat_long,nl,uf
21,9834239559472283,RETAILER 1,STORE TYPE 24,26250,"39.03,-79.96",Drogaria Esperança,TO
22,10898749811740258,RETAILER 6,STORE TYPE 23,93630,"36.73,-120.12",Farmácia Econômica,AP
23,10977242479328216,RETAILER 6,STORE TYPE 23,29926,"32.24,-80.74",Farmácia São João,RR
24,11692492192277304,RETAILER 1,STORE TYPE 24,47118,"38.30,-86.50",Drogaria Saúde,RS
25,12256582276953185,RETAILER 1,STORE TYPE 18,19114,"40.07,-75.00",Drogaria Saúde,RO
26,12286013786271776,RETAILER 7,STORE TYPE 20,93215,"35.78,-119.20",Drogaria Viva,RS
27,12450960848577756,RETAILER 1,STORE TYPE 18,70393,"29.99,-91.01",Drogaria Viva,MA
28,12507256656158416,RETAILER 1,STORE TYPE 18,18042,"40.65,-75.22",Farmácia Confiança,MS
29,12532171531926405,RETAILER 1,STORE TYPE 18,39209,"32.40,-90.29",Drogaria Moderna,PB
30,12625493349846152,RETAILER 6,STORE TYPE 23,34711,"28.53,-81.75",Drogaria Saúde,MS
31,12901044758552753,RETAILER 1,STORE TYPE 18,74105,"36.10,-95.96",Drogaria Esperança,CE
32,13001415975637186,RETAILER 1,STORE TYPE 24,36256,"33.05,-85.70",Farmácia Confiança,MA
33,13604219045279829,RETAILER 6,STORE TYPE 23,93561,"35.12,-118.49",Drogaria Esperança,ES
34,14315856681444327,RETAILER 6,STORE TYPE 23,32819,"28.45,-81.47",Drogaria Central,AP
35,14401019703441774,RETAILER 6,STORE TYPE 23,37323,"35.10,-84.82",Farmácia Econômica,AP
36,14893209681133243,RETAILER 1,STORE TYPE 18,33462,"26.58,-80.07",Drogaria Central,RO
37,15473221985452390,RETAILER 1,STORE TYPE 24,49058,"42.64,-85.30",Drogaria Saúde,AC
38,15809576371610000,RETAILER 1,STORE TYPE 24,35055,"34.15,-86.76",Drogaria Mais Saúde,PI
39,16111734098713077,RETAILER 1,STORE TYPE 24,43766,"39.59,-82.25",Farmácia Econômica,PB
40,16936018086448328,RETAILER 6,STORE TYPE 23,31705,"31.52,-84.04",Farmácia São João,SE
41,16954869650964909,RETAILER 1,STORE TYPE 24,31518,"31.51,-82.19",Farmácia Vida+,GO
42,17092327263419613,RETAILER 1,STORE TYPE 24,61046,"42.10,-89.81",Drogaria Popular,SE
43,17095565791165071,RETAILER 1,STORE TYPE 24,77511,"29.38,-95.24",Drogaria Saúde,AL
44,17993392037327937,RETAILER 1,STORE TYPE 24,62040,"38.73,-90.11",Drogaria Moderna,PB
45,18182804288808341,RETAILER 1,STORE TYPE 24,79316,"33.14,-102.33",Farmácia do Povo,PA
46,18183406203622505,RETAILER 1,STORE TYPE 24,78161,"29.29,-98.06",Drogaria Mais Saúde,GO
47,18445315342107341,RETAILER 6,STORE TYPE 23,1247,"42.70,-73.08",Farmácia Econômica,RO
48,18690557667676345,RETAILER 1,STORE TYPE 24,62467,"39.13,-88.44",Drogaria Mais Saúde,RJ
49,19474767037123746,RETAILER 1,STORE TYPE 24,32707,"28.66,-81.31",Drogaria Mais Saúde,RJ
50,19522615138632098,RETAILER 1,STORE TYPE 24,67467,"39.14,-97.70",Farmácia TopSaúde,AM
51,19612622633353093,RETAILER 1,STORE TYPE 29,6795,"41.62,-73.13",Farmácia Econômica,RR
52,19680503029830202,RETAILER 1,STORE TYPE 24,16248,"41.03,-79.50",Drogaria Central,RN
53,19785933618086755,RETAILER 1,STORE TYPE 18,68028,"41.11,-96.26",Farmácia Bem Estar,RN
54,19938008705237195,RETAILER 1,STORE TYPE 24,16101,"40.98,-80.29",Farmácia TopSaúde,AL
55,20489993409037386,RETAILER 1,STORE TYPE 18,12569,"41.73,-73.79",Farmácia Confiança,MA
56,20635089735703500,RETAILER 7,STORE TYPE 20,80016,"39.60,-104.71",Drogaria Saúde,SC
57,21203386938816025,RETAILER 6,STORE TYPE 23,84109,"40.71,-111.70",Drogaria Saúde,SC
58,22736675513751339,RETAILER 6,STORE TYPE 23,77357,"30.16,-95.19",Drogaria Esperança,PE
59,22979798791095717,RETAILER 1,STORE TYPE 24,25801,"37.82,-81.27",Drogaria Mais Saúde,AC
60,23691912458708561,RETAILER 4,STORE TYPE 14,75214,"32.83,-96.75",Drogaria Viva,PE
61,23903042226427053,RETAILER 1,STORE TYPE 24,44224,"41.18,-81.44",Farmácia Confiança,PB
62,24603195383297105,RETAILER 6,STORE TYPE 03,33467,"26.60,-80.18",Drogaria Viva,TO
63,24859382662519748,RETAILER 1,STORE TYPE 24,54801,"45.88,-91.94",Farmácia Econômica,PE
64,25241209707381411,RETAILER 6,STORE TYPE 23,59405,"47.34,-111.30",Farmácia Bem Estar,AL
65,25305693491201586,RETAILER 6,STORE TYPE 16,60714,"42.03,-87.81",Farmácia Bem Estar,MA
66,25949607929895836,RETAILER 1,STORE TYPE 24,12586,"41.56,-74.17",Farmácia São João,AP
67,26083815407124458,RETAILER 1,STORE TYPE 24,41031,"38.42,-84.29",Farmácia Econômica,GO
68,26179323425989997,RETAILER 1,STORE TYPE 24,65588,"36.98,-91.27",Drogaria Esperança,ES
69,26282339689442999,RETAILER 6,STORE TYPE 23,85755,"32.47,-110.98",Drogaria Esperança,RR
70,26385019781576701,RETAILER 1,STORE TYPE 24,85650,"31.50,-110.20",Drogaria Moderna,PA
71,26428518632293124,RETAILER 1,STORE TYPE 24,30833,"33.19,-82.35",Farmácia Bem Estar,RJ
72,27104950632212005,RETAILER 6,STORE TYPE 03,98007,"47.61,-122.14",Drogaria Central,MT
73,27427087906187718,RETAILER 1,STORE TYPE 24,75173,"33.06,-96.40",Drogaria Central,AP
74,27748868678178506,RETAILER 6,STORE TYPE 03,29456,"32.99,-80.12",Farmácia Bem Estar,MS
75,27956176520109072,RETAILER 1,STORE TYPE 24,76043,"32.21,-97.80",Drogaria Mais Saúde,BA
76,29190662803297080,RETAILER 1,STORE TYPE 24,42748,"37.57,-85.69",Farmácia Econômica,SP
77,29939974182674767,RETAILER 7,STORE TYPE 20,76801,"31.75,-99.03",Drogaria Saúde,CE
78,29951212299220263,RETAILER 1,STORE TYPE 18,73096,"35.51,-98.74",Drogaria Mais Saúde,TO
79,30136912951821201,RETAILER 6,STORE TYPE 23,53566,"42.61,-89.65",Drogaria Saúde,RN
80,30146982998415267,RETAILER 1,STORE TYPE 24,36426,"31.14,-87.07",Farmácia Bem Estar,AP
81,30418046986816430,RETAILER 1,STORE TYPE 24,45843,"40.77,-83.54",Drogaria Viva,MT
82,30540976509628034,RETAILER 1,STORE TYPE 24,64470,"40.16,-95.23",Farmácia São João,SP
83,30945173051165207,RETAILER 1,STORE TYPE 24,76877,"31.16,-98.76",Drogaria Central,DF
84,31108487973147554,RETAILER 1,STORE TYPE 24,78130,"29.69,-98.07",Farmácia TopSaúde,BA
85,31358224636976990,RETAILER 6,STORE TYPE 23,27577,"35.49,-78.33",Farmácia Confiança,RR
86,31481933221946488,RETAILER 1,STORE TYPE 18,36467,"31.28,-86.26",Drogaria Esperança,SE
87,31567477231693256,RETAILER 6,STORE TYPE 23,3038,"42.89,-71.28",Farmácia Confiança,RR
88,31681398515898451,RETAILER 6,STORE TYPE 23,8865,"40.71,-75.15",Drogaria Brasil,SP
89,32369694803782052,RETAILER 6,STORE TYPE 23,58801,"48.22,-103.75",Farmácia TopSaúde,PA
90,32549519500550751,RETAILER 6,STORE TYPE 23,43615,"41.65,-83.67",Drogaria Popular,PI
91,32686361507437629,RETAILER 4,STORE TYPE 14,4401,"44.85,-68.85",Drogaria Saúde,AM
92,33594098700281624,RETAILER 1,STORE TYPE 24,16001,"40.91,-79.95",Farmácia Econômica,AL
93,33774317139899039,RETAILER 1,STORE TYPE 24,46052,"40.04,-86.46",Drogaria Central,RN
94,34047209538951470,RETAILER 1,STORE TYPE 15,29678,"34.63,-82.94",Farmácia Confiança,MA
95,34437342647338506,RETAILER 1,STORE TYPE 18,37072,"36.35,-86.75",Farmácia Vida+,PR
96,34497380555690816,RETAILER 6,STORE TYPE 23,36526,"30.61,-87.86",Farmácia Bem Estar,RS
97,34988177260290565,RETAILER 1,STORE TYPE 18,72653,"36.34,-92.39",Drogaria Mais Saúde,MA
98,35667465830574471,RETAILER 1,STORE TYPE 24,14108,"43.26,-78.73",Drogaria Popular,RN
99,35824655340250735,RETAILER 1,STORE TYPE 24,29829,"33.57,-81.86",Drogaria Mais Saúde,RR
100,36639050622744761,RETAILER 1,STORE TYPE 24,72703,"36.12,-94.04",Farmácia Bem Estar,PR
101,36712455035917137,RETAILER 1,STORE TYPE 24,38804,"34.28,-88.67",Farmácia Bem Estar,PR
102,36801835513090375,RETAILER 1,STORE TYPE 24,38941,"33.48,-90.36",Drogaria Popular,AP
103,37053368952650880,RETAILER 1,STORE TYPE 24,34953,"27.25,-80.38",Farmácia Vida+,RR
104,37088179478535382,RETAILER 4,STORE TYPE 14,90630,"33.82,-118.04",Farmácia Econômica,PR
105,37225849630441331,RETAILER 1,STORE TYPE 24,21639,"38.96,-75.78",Drogaria Saúde,MS
106,38305849557191945,RETAILER 1,STORE TYPE 18,46227,"39.67,-86.13",Drogaria Mais Saúde,MG
107,38584019476307565,RETAILER 6,STORE TYPE 23,38654,"34.93,-89.82",Farmácia Confiança,SP
108,38738492854015234,RETAILER 7,STORE TYPE 20,89104,"36.15,-115.11",Farmácia do Povo,AC
109,38898357579979807,RETAILER 1,STORE TYPE 24,73006,"34.91,-98.40",Farmácia do Povo,SE
110,39096728284242120,RETAILER 6,STORE TYPE 03,87114,"35.20,-106.69",Drogaria Mais Saúde,RR
111,39128918827177098,RETAILER 6,STORE TYPE 23,29680,"34.69,-82.29",Farmácia São João,PB
112,39271125182210780,RETAILER 6,STORE TYPE 23,14760,"42.07,-78.41",Farmácia Econômica,AL
113,39468643643922936,RETAILER 1,STORE TYPE 24,62692,"39.58,-89.94",Farmácia Boa Saúde,SE
114,39832410170010430,RETAILER 1,STORE TYPE 24,35580,"33.67,-87.26",Farmácia Vida+,MG
115,40186431667190490,RETAILER 6,STORE TYPE 23,77379,"30.04,-95.53",Farmácia Econômica,RO
116,40842800154480383,RETAILER 1,STORE TYPE 18,87004,"35.37,-106.60",Farmácia Bem Estar,PB
117,40990375968753790,RETAILER 1,STORE TYPE 24,65324,"38.13,-93.03",Drogaria Brasil,RO
118,41263797783492145,RETAILER 1,STORE TYPE 24,38118,"35.03,-89.93",Farmácia Econômica,MA
119,41791732467824779,RETAILER 6,STORE TYPE 23,35976,"34.35,-86.33",Farmácia Bem Estar,RO
120,42272128137441206,RETAILER 4,STORE TYPE 14,29483,"33.06,-80.18",Farmácia Econômica,MS
121,42323550092568519,RETAILER 4,STORE TYPE 14,44070,"41.42,-81.92",Drogaria Saúde,RN
122,43516890163599805,RETAILER 6,STORE TYPE 23,71483,"31.89,-92.66",Drogaria Central,DF
123,43880225166669157,RETAILER 6,STORE TYPE 03,85746,"32.09,-111.04",Farmácia Bem Estar,RR
124,44783203747954624,RETAILER 4,STORE TYPE 14,60657,"41.94,-87.65",Drogaria Brasil,PI
125,45110777814101374,RETAILER 1,STORE TYPE 15,44004,"41.86,-80.79",Farmácia Confiança,MT
126,45471118749380149,RETAILER 1,STORE TYPE 24,36075,"32.38,-85.92",Drogaria Mais Saúde,PB
127,46030354758327202,RETAILER 1,STORE TYPE 24,49038,"42.20,-86.32",Drogaria Central,MT
128,46756480725659148,RETAILER 1,STORE TYPE 18,73086,"34.47,-96.97",Farmácia São João,PI
129,46864722959882120,RETAILER 1,STORE TYPE 24,40146,"37.85,-86.33",Drogaria Esperança,MG
130,47584184730326243,RETAILER 6,STORE TYPE 23,48111,"42.18,-83.49",Farmácia Confiança,MG
131,47701590495674948,RETAILER 1,STORE TYPE 24,64482,"40.46,-95.55",Drogaria Viva,SE
132,47957882540416605,RETAILER 1,STORE TYPE 18,43235,"40.07,-83.10",Farmácia Vida+,DF
133,48115470308811195,RETAILER 1,STORE TYPE 24,37920,"35.91,-83.86",Farmácia Boa Saúde,PR
134,48279412872976123,RETAILER 4,STORE TYPE 14,27804,"35.99,-77.84",Farmácia Boa Saúde,TO
135,48514078021912613,RETAILER 4,STORE TYPE 14,68845,"40.72,-99.16",Drogaria Brasil,GO
136,48630006697419100,RETAILER 1,STORE TYPE 24,74011,"35.98,-95.81",Drogaria Mais Saúde,RJ
137,49059142465043468,RETAILER 6,STORE TYPE 23,85388,"33.60,-112.43",Drogaria Moderna,RJ
138,49203157436214531,RETAILER 4,STORE TYPE 14,85015,"33.51,-112.10",Drogaria Moderna,TO
139,49389504139011614,RETAILER 1,STORE TYPE 24,37601,"36.34,-82.32",Farmácia Boa Saúde,AP
140,49421348024414779,RETAILER 6,STORE TYPE 23,93906,"36.72,-121.63",Farmácia Confiança,ES
141,49838408805837671,RETAILER 1,STORE TYPE 24,28501,"35.24,-77.51",Drogaria Viva,CE
142,50135073050574291,RETAILER 6,STORE TYPE 23,62966,"37.78,-89.35",Farmácia TopSaúde,PA
143,50218295145956202,RETAILER 1,STORE TYPE 24,76078,"33.09,-97.46",Drogaria Mais Saúde,PA
144,50387171515085615,RETAILER 1,STORE TYPE 18,7203,"40.65,-74.26",Drogaria Central,SE
145,50821207032211501,RETAILER 1,STORE TYPE 24,49872,"46.02,-87.08",Farmácia Vida+,GO
146,51148780352954408,RETAILER 7,STORE TYPE 20,79936,"31.78,-106.30",Farmácia Boa Saúde,SP
147,51463239982067940,RETAILER 1,STORE TYPE 18,40203,"38.25,-85.77",Drogaria Popular,BA
148,52059827475445379,RETAILER 1,STORE TYPE 24,30635,"34.11,-82.79",Farmácia Bem Estar,AM
149,52598784543050711,RETAILER 4,STORE TYPE 14,75092,"33.65,-96.70",Farmácia Econômica,SE
150,52793908760344280,RETAILER 1,STORE TYPE 24,38301,"35.59,-88.85",Drogaria Popular,CE
151,52800869996882086,RETAILER 6,STORE TYPE 23,55350,"44.90,-94.39",Farmácia TopSaúde,AC
152,52829469374283082,RETAILER 6,STORE TYPE 23,43616,"41.66,-83.41",Farmácia Bem Estar,SC
153,53249210065282044,RETAILER 1,STORE TYPE 18,37043,"36.49,-87.24",Farmácia Boa Saúde,AP
154,53598369104241130,RETAILER 6,STORE TYPE 23,64701,"38.62,-94.33",Farmácia Vida+,PA
155,53881171748107903,RETAILER 1,STORE TYPE 18,54022,"44.85,-92.61",Drogaria Moderna,ES
156,54308417937427459,RETAILER 1,STORE TYPE 24,30453,"32.01,-82.12",Drogaria Mais Saúde,RN
157,54373353835071190,RETAILER 1,STORE TYPE 24,37129,"35.93,-86.44",Drogaria Mais Saúde,MA
158,56270957984672785,RETAILER 6,STORE TYPE 23,54501,"45.66,-89.35",Farmácia São João,ES
159,56545863846549523,RETAILER 1,STORE TYPE 24,79331,"32.70,-102.01",Drogaria Saúde,AM
160,56580183739426355,RETAILER 6,STORE TYPE 23,53190,"42.81,-88.74",Drogaria Popular,PR
161,57358517095036780,RETAILER 4,STORE TYPE 14,80124,"39.53,-104.89",Farmácia São João,PE
162,58343856779315659,RETAILER 7,STORE TYPE 20,7936,"40.82,-74.36",Drogaria Brasil,RN
163,58564070993213476,RETAILER 7,STORE TYPE 20,30024,"34.06,-84.09",Farmácia Boa Saúde,ES
164,58817706574116265,RETAILER 6,STORE TYPE 23,46526,"41.56,-85.88",Drogaria Moderna,MG
165,59193464542431541,RETAILER 1,STORE TYPE 24,45882,"40.68,-84.68",Farmácia São João,CE
166,59245736984009773,RETAILER 6,STORE TYPE 23,35603,"34.54,-86.97",Farmácia Bem Estar,MA
167,59308476060179750,RETAILER 1,STORE TYPE 24,27263,"35.91,-79.94",Drogaria Mais Saúde,DF
168,59441761673287573,RETAILER 6,STORE TYPE 23,49444,"43.18,-86.20",Drogaria Saúde,SP
169,59762959695563609,RETAILER 1,STORE TYPE 15,43988,"40.40,-81.12",Farmácia Bem Estar,SC
170,59956762920582861,RETAILER 1,STORE TYPE 24,23407,"37.85,-75.57",Farmácia Bem Estar,RS
171,60109622875079038,RETAILER 6,STORE TYPE 23,20011,"38.95,-77.02",Drogaria Popular,AP
172,61046020364315034,RETAILER 7,STORE TYPE 20,19711,"39.71,-75.74",Farmácia Confiança,SC
173,61265523073722217,RETAILER 6,STORE TYPE 23,60031,"42.37,-87.94",Farmácia Econômica,MS
174,61679973751314573,RETAILER 7,STORE TYPE 20,3865,"42.85,-71.09",Drogaria Saúde,AM
175,61778160585445259,RETAILER 1,STORE TYPE 18,25621,"37.63,-81.94",Drogaria Brasil,MT
176,61951987471400280,RETAILER 1,STORE TYPE 18,75601,"32.51,-94.72",Farmácia Confiança,AP
177,62226347547476665,RETAILER 1,STORE TYPE 24,27205,"35.64,-79.85",Drogaria Saúde,DF
178,62490602199329027,RETAILER 1,STORE TYPE 24,29078,"34.18,-80.71",Farmácia Vida+,MG
179,62512324140331937,RETAILER 1,STORE TYPE 24,70079,"30.00,-90.41",Farmácia Boa Saúde,MA
180,62962172972374813,RETAILER 1,STORE TYPE 18,19428,"40.08,-75.30",Drogaria Viva,AL
181,63159681423957275,RETAILER 1,STORE TYPE 24,72041,"34.72,-91.47",Farmácia Vida+,SC
182,63628833323864951,RETAILER 1,STORE TYPE 18,76021,"32.85,-97.13",Drogaria Saúde,SP
183,64024230872520692,RETAILER 1,STORE TYPE 18,64730,"38.26,-94.30",Drogaria Mais Saúde,RJ
184,64561754287640555,RETAILER 1,STORE TYPE 18,30114,"34.25,-84.52",Farmácia São João,RO
185,64622432407618293,RETAILER 6,STORE TYPE 23,27406,"36.00,-79.76",Drogaria Brasil,PA
186,65339671761924362,RETAILER 6,STORE TYPE 23,54143,"45.08,-87.70",Drogaria Brasil,RS
187,65490676029852984,RETAILER 1,STORE TYPE 24,32448,"30.67,-85.22",Farmácia Confiança,MA
188,65770737908124084,RETAILER 6,STORE TYPE 23,67124,"37.63,-98.77",Farmácia Confiança,RS
189,65835582706328091,RETAILER 1,STORE TYPE 15,47542,"38.30,-86.97",Farmácia do Povo,PE
190,66011874281647359,RETAILER 1,STORE TYPE 24,15037,"40.26,-79.85",Farmácia Vida+,SE
191,66247055747154369,RETAILER 1,STORE TYPE 24,44004,"41.86,-80.79",Drogaria Esperança,AC
192,67123535775532017,RETAILER 7,STORE TYPE 20,30093,"33.91,-84.18",Drogaria Brasil,SE
193,67849536007636640,RETAILER 6,STORE TYPE 23,75644,"32.79,-95.00",Drogaria Brasil,SE
194,68271446898891614,RETAILER 6,STORE TYPE 23,81501,"39.07,-108.55",Drogaria Popular,RN
195,68366071646671017,RETAILER 1,STORE TYPE 24,3574,"44.26,-71.61",Farmácia do Povo,PA
196,69309063414368233,RETAILER 1,STORE TYPE 24,29505,"34.13,-79.69",Drogaria Popular,AM
197,70123496734646507,RETAILER 1,STORE TYPE 24,31545,"31.66,-81.93",Farmácia Econômica,TO
198,70669287831264000,RETAILER 1,STORE TYPE 24,73130,"35.46,-97.35",Drogaria Saúde,SC
199,71357155805297594,RETAILER 1,STORE TYPE 24,35476,"33.23,-87.59",Farmácia Confiança,AC
200,71455247912746009,RETAILER 1,STORE TYPE 18,28103,"35.00,-80.35",Drogaria Saúde,TO
201,71590248642012647,RETAILER 1,STORE TYPE 24,65725,"37.43,-93.29",Farmácia Confiança,AM
202,71609864824740805,RETAILER 1,STORE TYPE 18,40422,"37.64,-84.80",Drogaria Viva,AL
203,71634504797723958,RETAILER 6,STORE TYPE 23,31313,"31.84,-81.61",Drogaria Moderna,PB
204,71754163440412846,RETAILER 1,STORE TYPE 24,30233,"33.29,-83.97",Drogaria Brasil,AM
205,72313997729672295,RETAILER 1,STORE TYPE 24,73010,"35.11,-97.68",Drogaria Esperança,AC
206,72509808301161697,RETAILER 1,STORE TYPE 24,52738,"41.27,-91.38",Farmácia do Povo,SP
207,73140306942120649,RETAILER 1,STORE TYPE 24,72958,"34.90,-94.14",Drogaria Brasil,PB
208,73872740728257381,RETAILER 1,STORE TYPE 24,50208,"41.71,-93.03",Farmácia São João,PB
209,74147425891043817,RETAILER 6,STORE TYPE 23,44312,"41.01,-81.44",Drogaria Esperança,PB
210,74286556584558015,RETAILER 7,STORE TYPE 20,18964,"40.30,-75.34",Farmácia São João,BA
211,74347584028096618,RETAILER 1,STORE TYPE 24,38581,"35.74,-85.62",Drogaria Saúde,PR
212,74488057396678519,RETAILER 6,STORE TYPE 23,78621,"30.34,-97.36",Farmácia São João,BA
213,74491560722106045,RETAILER 6,STORE TYPE 16,7005,"40.93,-74.42",Drogaria Mais Saúde,AM
214,74654487707620967,RETAILER 6,STORE TYPE 23,32404,"30.20,-85.50",Drogaria Esperança,PB
215,74983012192430645,RETAILER 1,STORE TYPE 24,32180,"29.24,-81.40",Farmácia Bem Estar,AM
216,75012744787620460,RETAILER 6,STORE TYPE 23,75462,"33.62,-95.49",Farmácia Bem Estar,MT
217,75603674014774045,RETAILER 1,STORE TYPE 18,48602,"43.42,-83.97",Farmácia Confiança,CE
218,76405124358375595,RETAILER 1,STORE TYPE 24,24179,"37.29,-79.81",Drogaria Mais Saúde,RN
219,77415722124763928,RETAILER 1,STORE TYPE 24,72653,"36.34,-92.39",Drogaria Central,RJ
220,77444702987099011,RETAILER 1,STORE TYPE 18,28734,"35.19,-83.41",Drogaria Popular,PI
221,77597452559300765,RETAILER 1,STORE TYPE 24,28056,"35.22,-81.13",Farmácia TopSaúde,PR
222,78104175901982038,RETAILER 1,STORE TYPE 24,35950,"34.25,-86.26",Drogaria Esperança,SC
223,79371096147060045,RETAILER 6,STORE TYPE 23,53081,"43.71,-87.73",Drogaria Moderna,RJ
224,79837268032293670,RETAILER 1,STORE TYPE 24,30634,"34.20,-82.95",Drogaria Central,AC
225,79898950854499959,RETAILER 1,STORE TYPE 24,70507,"30.28,-92.03",Farmácia Vida+,AP
226,80490648393832536,RETAILER 4,STORE TYPE 14,32780,"28.53,-80.79",Drogaria Popular,PA
227,80873936713712177,RETAILER 1,STORE TYPE 24,46147,"39.97,-86.62",Farmácia do Povo,MA
228,81062269011263880,RETAILER 1,STORE TYPE 18,28262,"35.32,-80.74",Farmácia Confiança,TO
229,81357494090616464,RETAILER 1,STORE TYPE 24,49202,"42.27,-84.41",Drogaria Mais Saúde,MA
230,81562103757232780,RETAILER 4,STORE TYPE 14,35022,"33.32,-86.97",Farmácia Vida+,RO
231,82323217083795966,RETAILER 1,STORE TYPE 24,37043,"36.49,-87.24",Farmácia Boa Saúde,MS
232,82356532347169055,RETAILER 6,STORE TYPE 23,36619,"30.60,-88.20",Drogaria Esperança,RO
233,82375179410333824,RETAILER 1,STORE TYPE 15,39840,"31.78,-84.76",Drogaria Central,AP
234,82578935641953825,RETAILER 1,STORE TYPE 18,42031,"36.69,-88.99",Drogaria Popular,AP
235,83923538620919949,RETAILER 1,STORE TYPE 24,56450,"46.23,-93.83",Drogaria Esperança,ES
236,84336240275110120,RETAILER 1,STORE TYPE 18,62226,"38.54,-90.00",Drogaria Central,RR
237,84669275514471965,RETAILER 6,STORE TYPE 23,67901,"37.10,-100.91",Drogaria Viva,DF
238,84698295883610918,RETAILER 1,STORE TYPE 24,75472,"32.88,-95.87",Farmácia do Povo,MS
239,85568465837721481,RETAILER 6,STORE TYPE 23,93312,"35.39,-119.12",Drogaria Mais Saúde,SP
240,85755803276143113,RETAILER 1,STORE TYPE 24,74434,"35.81,-95.21",Farmácia Econômica,GO
241,86028514430717368,RETAILER 1,STORE TYPE 24,23434,"36.70,-76.59",Farmácia do Povo,AP
242,86057949534701460,RETAILER 6,STORE TYPE 23,83318,"42.44,-113.82",Farmácia Vida+,MG
243,86372477021153755,RETAILER 1,STORE TYPE 24,73005,"35.05,-98.24",Farmácia Confiança,PA
244,86675577128539933,RETAILER 6,STORE TYPE 23,46168,"39.69,-86.39",Drogaria Esperança,PI
245,87209980032655146,RETAILER 1,STORE TYPE 18,75090,"33.60,-96.55",Farmácia São João,CE
246,87881869533917504,RETAILER 7,STORE TYPE 20,7310,"40.73,-74.04",Farmácia Confiança,PA
247,88517933957211737,RETAILER 1,STORE TYPE 24,44062,"41.45,-81.04",Farmácia TopSaúde,MT
248,88594625185932053,RETAILER 1,STORE TYPE 24,15239,"40.48,-79.74",Drogaria Popular,AP
249,88818398629749651,RETAILER 4,STORE TYPE 14,37129,"35.93,-86.44",Farmácia Confiança,ES
250,88886930774759234,RETAILER 1,STORE TYPE 18,60516,"41.76,-88.01",Farmácia do Povo,SC
251,88992922425649276,RETAILER 1,STORE TYPE 24,15701,"40.63,-79.15",Farmácia TopSaúde,MG
252,89159324446556564,RETAILER 6,STORE TYPE 16,1566,"42.10,-72.08",Drogaria Central,BA
253,89206078685988969,RETAILER 6,STORE TYPE 16,4457,"45.41,-68.48",Farmácia Vida+,RS
254,89378456048066655,RETAILER 6,STORE TYPE 23,88201,"33.64,-104.40",Farmácia Confiança,AM
255,90007869867007588,RETAILER 1,STORE TYPE 18,39743,"33.34,-88.62",Drogaria Saúde,AM
256,90353467140736235,RETAILER 6,STORE TYPE 23,82009,"41.37,-104.84",Drogaria Central,CE
257,90577696854218676,RETAILER 6,STORE TYPE 23,68901,"40.59,-98.37",Drogaria Central,PA
258,90974370233885026,RETAILER 1,STORE TYPE 24,4282,"44.27,-70.25",Farmácia Bem Estar,AM
259,90990538616956004,RETAILER 1,STORE TYPE 24,49746,"45.06,-83.95",Farmácia São João,MG
260,91074030658255607,RETAILER 1,STORE TYPE 24,23055,"37.77,-78.22",Drogaria Esperança,BA
261,91132743409061079,RETAILER 1,STORE TYPE 24,39402,"31.33,-89.42",Drogaria Brasil,AP
